Tempo Status Tipo Valor Tipo_Consulta
0 x pacote 723 PC
735 ok pacote 723 CL
286 ok pacote 723 CL
355 ok pacote 723 CL
388 ok pacote 723 CL
337 ok pacote 723 CL
945 ok pacote 723 PC
586 ok pacote 723 PC
983 ok pacote 723 PC
754 ok pacote 723 PC
574 ok pacote 723 PC
630 ok pacote 723 PC
434 ok pacote 723 CL
0 x pacote 723 CL
208 ok pacote 723 CL
294 ok pacote 723 CL
274 ok pacote 723 CL
286 ok pacote 723 CL
968 ok pacote 723 PC
248 ok pacote 723 CL
427 ok pacote 723 PC
367 ok pacote 723 CL
569 ok pacote 723 PC
225 ok pacote 723 CL
629 ok pacote 723 PC
198 ok pacote 723 PC
556 ok pacote 723 PC
230 ok pacote 723 CL
831 ok pacote 723 PC
156 ok pacote 723 CL
217 ok pacote 723 CL
264 ok pacote 723 PC
807 ok pacote 723 PC
1159 ok pacote 723 PC
272 ok pacote 723 CL
360 ok pacote 723 CL
379 ok pacote 723 PC
977 ok pacote 723 PC
0 x pacote 723 CL
753 ok pacote 723 PC
0 x pacote 512 CL
0 x pacote 512 CL
425 ok pacote 512 CL
0 x pacote 512 CL
0 x pacote 512 PC
0 x pacote 512 PC
265 ok pacote 512 CL
381 ok pacote 512 CL
0 x pacote 512 CL
720 ok pacote 512 PC
568 ok pacote 512 PC
412 ok pacote 512 CL
475 ok pacote 512 CL
568 ok pacote 512 CL
777 ok pacote 512 PC
668 ok pacote 512 PC
310 ok pacote 512 PC
250 ok pacote 512 PC
545 ok pacote 512 CL
190 ok pacote 512 PC
0 x pacote 512 CL
0 x pacote 512 CL
555 ok pacote 512 PC
428 ok pacote 512 CL
1001 ok pacote 512 PC
464 ok pacote 512 PC
406 ok pacote 512 CL
303 ok pacote 512 PC
429 ok pacote 512 CL
404 ok pacote 512 CL
215 ok pacote 512 PC
385 ok pacote 512 PC
407 ok pacote 512 PC
355 ok pacote 512 CL
494 ok pacote 512 PC
479 ok pacote 512 CL
1037 ok pacote 512 PC
1301 ok pacote 512 PC
419 ok pacote 512 CL
625 ok pacote 512 PC
0 x pacote 367 CL
0 x pacote 367 CL
0 x pacote 367 PC
491 ok pacote 367 CL
0 x pacote 367 PC
434 ok pacote 367 CL
333 ok pacote 367 PC
0 x pacote 367 CL
1202 ok pacote 367 PC
